Region,Month,Year,Fixed Assets Rate,Women Occupation Rate,Men Occupation Rate,Operating Sale Revenue Rate,Participation Rate,Travel Attraction Rate,Travel Generation Rate,Housing Price per meter,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
1,January,2016,11.74,23.22,73.47,14760,0.195,1.102,0.089,4554495,1.903225806,-6.564516129,-2.158064516,1.916129032,0.779032258,8.906451613
1,February,2016,11.57,32.59,73.92,13661,0.254,1.207,0.097,4702580,5.789655172,-3.413793103,1.068965517,0.744827586,0.282413793,9.444827586
1,March,2016,11.47,20.26,64.74,12783,0.294,1.382,0.111,4781200,11.34193548,1.74516129,6.896774194,2.438709677,0.223548387,9.306451613
1,April,2016,12.32,22.89,65.14,12906,0.26,1.138,0.092,4870447,15.96333333,6.13,11.53666667,1.263333333,0.072333333,9.876666667
1,May,2016,12.15,24.11,71.79,12898,0.303,1.121,0.09,5232969,24.49677419,13.85483871,19.74193548,0.361290323,0.0001,13.7516129
1,June,2016,11.7,22.03,84.02,14432,0.242,1.103,0.089,5614590,29.05,18.14666667,24.21666667,0.063333333,0.0001,14.16666667
1,July,2016,11.82,33.55,73.22,13561,0.243,1.287,0.104,5627047,32.23548387,23.13225806,28.00645161,0.074193548,0.0001,13.70967742
1,August,2016,11.2,24.07,81.08,13835,0.237,1.105,0.089,5831528,30.62903226,20.82258065,26.07741935,0.003225806,0.0001,11.23548387
1,September,2016,11.23,27.39,79.56,12506,0.27,1.339,0.108,6034141,27.17666667,18.99666667,23.11666667,0.103333333,0.0001,11.99333333
1,October,2016,11.75,25.75,70.52,13776,0.243,1.297,0.104,6232233,19.38387097,11.96774194,15.59032258,0.074193548,0.002258065,10.42580645
1,November,2016,12.07,32.47,76.48,14627,0.263,1.388,0.112,6445722,10.62333333,1.973333333,6.233333333,0.583333333,0.102666667,7.643333333
1,December,2016,11.12,20.92,76.81,15003,0.197,1.321,0.106,6639452,4.687096774,-5.103225806,0.293548387,3.038709677,0.873870968,8.519354839
1,January,2017,11.65,24.93,83.85,16173,0.217,1.067,0.084,6779831,3.519354839,-5.729032258,-1.106451613,1.658064516,1.079354839,10.92903226
1,February,2017,11.4,32.63,71.18,16112,0.206,1.242,0.098,7000270,2.639285714,-5.007142857,-1.221428571,2.267857143,1.4675,10.09642857
1,March,2017,12.24,21.6,77.4,16923,0.227,1.36,0.108,7337010,8.851612903,-0.112903226,4.448387097,3.45483871,0.663870968,11.07741935
1,April,2017,11.54,20.1,61.95,13815,0.291,1.221,0.097,7377401,16.12,6.873333333,11.64666667,3.693333333,0.133,12.36
1,May,2017,12.36,29.48,72.27,14282,0.246,1.22,0.097,7926522,24.38709677,12.43225806,18.93870968,0.829032258,0.0001,14.56774194
1,June,2017,11.47,25.27,67.22,16906,0.282,1.177,0.093,8504574,30.09,17.72333333,24.79,0.0001,0.0001,15.65333333
1,July,2017,11.4,28.31,86.4,16719,0.24,1.26,0.1,8420121,31.17741935,21.06451613,26.74193548,0.158064516,0.0001,14.36129032
1,August,2017,11.8,28.86,77.18,14923,0.282,1.144,0.091,8726099,29.87419355,20.09354839,25.80322581,0.0001,0.0001,13.83548387
1,September,2017,11.24,30.35,64.15,17520,0.315,1.32,0.104,9029281,26.73666667,17.04666667,22.72,0.02,0.0001,13.47666667
1,October,2017,11.74,28.76,67.77,17651,0.344,1.279,0.101,9325700,19.4483871,9.974193548,15.00645161,1.129032258,0.002258065,12.67096774
1,November,2017,11.41,25.77,75.9,16134,0.244,1.334,0.106,9365850,12.75666667,4.526666667,8.803333333,0.593333333,0.028,10.72666667
1,December,2017,11.79,24.33,74.32,15597,0.231,1.283,0.102,9807350,8.24516129,0.093548387,4.029032258,0.625806452,0.133225806,9.464516129
1,January,2018,11.38,31.82,74.26,23683,0.238,1.089,0.087,10099500,4.912903226,-4.267741935,0.632258065,1.496774194,0.984516129,10.60967742
1,February,2018,11.93,28.95,68.78,20525,0.228,1.233,0.098,10521800,6.360714286,-1.217857143,2.932142857,3.3,0.645,9.785714286
1,March,2018,12.06,25.04,69.65,21745,0.239,1.35,0.108,11279150,15.33548387,4.680645161,9.95483871,0.612903226,0.006774194,13.16129032
1,April,2018,11.56,20.19,68.5,17939,0.294,1.133,0.091,11078750,15.10333333,6.796666667,11.12,3.13,0.326666667,11.39333333
1,May,2018,11.74,27.71,59.84,21402,0.259,1.162,0.093,11515950,19.95483871,10.47419355,15.53870968,2.219354839,0.002258065,12.25483871
